haulier_nm,position_latitude,position_longitude,heading,haulier_uen,geofence_of_interest,vehicle_speed,vehicle_no,position_altitude,snapshot_dt,time_pushed_request
OCTAGLOBA,1.3072436,103.7524686,46,201832064Z,,0,XE3680G,0,Mon Aug 19 2024 09:21:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 10:57:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.3179528,103.7484265,283,198200775K,,0,XE9166K,0,Mon Aug 19 2024 09:21:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 10:57:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3246116852350664,103.69539765177802,278,200822834N-1,,,XE4493Z,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MAJESTY,1.262870967822891,103.8301545306022,16,201332161D,,,XE8641L,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MAJESTY,1.3099459513519272,103.71241604238162,46,201332161D,,,XE8332D,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3136954394813711,103.69631087149446,205,201942014W,,,XD6741A,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
GRYPHOLOG,1.3069099189375133,103.7524656122276,235,200703473M,,,XE4451U,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.2899586447557383,103.76809376389733,29,200301939M,,,XE4845S,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
INFINITI,1.3136316336917406,103.69656751793224,115,200604403R,,,XE4983B,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
HIAPEXPR,1.326999436221861,103.73759981289574,77,202007600K,,,XE6953A,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3049412357609598,103.7513321777675,276,201942014W,,,XE8568R,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.274529681721585,103.62409962245302,161,201942014W,,,XE8509L,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.451600654708601,103.78061631721764,51,201942014W,,,XE8791L,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.2910658412802865,103.76704286858262,235,198200775K,,,XE9007L,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
DELTA,1.312251546657118,103.7299383080382,127,200608216W,,,XE7498R,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3031792866875882,103.7490197429305,112,201942014W,,,XE203X,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.266561338548268,103.78592611311578,287,198200775K,,,XB8626Y,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.446874586977818,103.81193095021877,268,198200775K,,,XE9082T,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.2780450610455851,103.7812305708451,3,198200775K,,,XE8331G,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
HIAPEXPR,1.4045638272595746,103.7452637418464,233,202007600K,,,XE7201E,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.2828676789998237,103.75854342034224,244,200822834N-1,,,XD9360X,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
GRYPHOLOG,1.271592701291088,103.787101517967,343,200703473M,,,XE773S,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.4195055976007658,103.77143157524291,163,201942014W,,,XE9419G,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3109635,103.6333356,159,201309403M,,,XE6929X,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.2663948,103.81899,122,201309403M,,,XE8216G,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2911079,103.7668411,49,199100225R,,,XE4187H,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.2874908740218811,103.63534755649684,170,200822834N-1,,,XE4542R,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.2585436164251522,103.78356094402726,308,198200775K,,,XE5818P,,Mon Aug 19 2024 11:00:22 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2700825,103.8128328,125,199100225R,,,XE2628R,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.3042316,103.7494942,231,200301939M,,,XE6351L,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2700825,103.8128328,125,199100225R,,,XE2628R,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3126496,103.6979152,218,201942014W,,,XE850C,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.4620263,103.8212009,122,199100225R,,,XE1424T,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.3042316,103.7494942,231,200301939M,,,XE6351L,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
UNION TPT,1.3300801,103.6341795,133,199100849M,,,XE4488P,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
WU LI,1.3041749,103.7609418,317,38999200C,,,XE7292S,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
HUB LOGTS,1.3118667,103.7221767,211,200403197G,,,XE9339D,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
WU LI,1.3041749,103.7609418,317,38999200C,,,XE7292S,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2775983,103.7630917,60,200405461Z,,,XE3602H,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
UNION TPT,1.33841,103.9727167,291,199100849M,,,XE4223L,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3109419,103.6333478,150,201309403M,,,XE6929X,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3271608,103.7384963,111,200822834N-1,,,XE6139J,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2699994,103.8129491,125,199100225R,,,XE2628R,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
HUB LOGTS,1.3118667,103.7221767,211,200403197G,,,XE9339D,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
3R TPTN,1.2808316,103.7768917,22,201619593K,,,XE7826C,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3109419,103.6333478,150,201309403M,,,XE6929X,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
QITIAN,1.3033122,103.7636091,119,201904221G,,,XE7542X,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
DELTA,1.4422142,103.7755138,52,200608216W,,,XE6901A,,Mon Aug 19 2024 11:01:09 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
UNION TPT,1.3300801,103.6341795,133,199100849M,,,XE4488P,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
BOK SENG,1.2828818,103.7775561,138,199305010H,,,XD3997Z,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
BOK SENG,1.2828818,103.7775561,138,199305010H,,,XD3997Z,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.3367473,103.6393433,222,198200775K,,,XE1549S,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3125149,103.6966418,30,201942014W,,,XE9531P,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
T WORLD,1.2727026,103.8291094,0,199106421Z,,,XE7155E,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.332659,103.8162357,151,201942014W,,,XE387Z,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3109172,103.6333604,152,201309403M,,,XE6929X,,Mon Aug 19 2024 11:01:49 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.313859,103.7204701,293,198200775K,,,XD1126J,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3271608,103.7384963,111,200822834N-1,,,XE6139J,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3119809,103.6968,72,201309403M,,,XE7984D,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.3367473,103.6393433,222,198200775K,,,XE1549S,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
DELTA,1.4422142,103.7755138,52,200608216W,,,XE6901A,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
MAJESTY,1.262870967822891,103.8301545306022,63,201332161D,,,XE8641L,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.268437,103.8272268,51,200405461Z,,,XE5181S,,Mon Aug 19 2024 11:01:49 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.332659,103.8162357,151,201942014W,,,XE387Z,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.4617282,103.8216897,333,199100225R,,,XE8090B,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
PDC,1.2829964,103.7774201,153,198905307M,,,XE1419J,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
THONG LEE,1.313859,103.7204701,293,198200775K,,,XD1126J,,Mon Aug 19 2024 11:01:48 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
PDC,1.2829964,103.7774201,153,198905307M,,,XE1419J,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
DELTA,1.442274,103.7755909,52,200608216W,,,XE6901A,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
BIG-FOOT,1.3432295,103.7835879,68,199500061H,,,XD2491Y,,Mon Aug 19 2024 11:01:49 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3295886,103.755797,236,201309403M,,,XE279C,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
DELTA,1.442274,103.7755909,52,200608216W,,,XE6901A,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3032998,103.7615276,157,200822834N-1,,,XE5593L,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.3295886,103.755797,236,201309403M,,,XE279C,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
BIG-FOOT,1.3432295,103.7835879,68,199500061H,,,XD2491Y,,Mon Aug 19 2024 11:01:49 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2689526,103.8271984,127,200405461Z,,,XE1123L,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
UNION TPT,1.2830085,103.7772844,150,199100849M,,,XD4568Y,,Mon Aug 19 2024 11:01:49 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.4617282,103.8216897,333,199100225R,,,XE8090B,,Mon Aug 19 2024 11:01:50 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3032998,103.7615276,157,200822834N-1,,,XE5593L,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
3R TPTN,1.3544627,103.7099864,21,201619593K,,,XE9254P,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2699151,103.8130674,125,199100225R,,,XE2628R,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
TSL LOGIS,1.310894,103.6333776,143,201309403M,,,XE6929X,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3343767,103.6422766,246,200822834N-1,,,XD9943P,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3343767,103.6422766,246,200822834N-1,,,XD9943P,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2689526,103.8271984,127,200405461Z,,,XE1123L,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
INFINITI,1.2735748244461358,103.77237416813502,209,200604403R,,,XE6393R,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
3R TPTN,1.3544627,103.7099864,21,201619593K,,,XE9254P,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2684709,103.8272678,50,200405461Z,,,XE5181S,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
UNION TPT,1.3300185,103.6342527,129,199100849M,,,XE4488P,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2689173,103.8272176,151,200405461Z,,,XE1123L,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3271219,103.7385943,111,200822834N-1,,,XE6139J,,Mon Aug 19 2024 11:02:37 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
OCTAGLOBA,1.259866,103.8370119,6,201832064Z,,,XE3652M,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.4607766,103.8311862,124,201942014W,,,XE8350B,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.4008461,103.7001036,53,201942014W,,,XE9373D,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:02:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.3187732,103.650928,69,200301939M,,,XE587M,,Mon Aug 19 2024 11:02:36 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3071779,103.7404705,142,200822834N-1,,,XE3006D,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3136591,103.6967601,126,201942014W,,,XE8552K,,Mon Aug 19 2024 11:03:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3271219,103.7385943,111,200822834N-1,,,XE6139J,,Mon Aug 19 2024 11:03:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.4607766,103.8311862,124,201942014W,,,XE8350B,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3126496,103.6979152,218,201942014W,,,XE850C,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
T WORLD,1.2722263,103.8292471,190,199106421Z,,,XE5642D,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.3071779,103.7404705,142,200822834N-1,,,XE3006D,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.4620263,103.8212009,122,199100225R,,,XE1424T,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
QITIAN,1.3033122,103.7636091,119,201904221G,,,XE7542X,,Mon Aug 19 2024 11:01:08 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:03:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2688704,103.8272358,158,200405461Z,,,XE1123L,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
XIN TPT,1.2688704,103.8272358,158,200405461Z,,,XE1123L,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2593742,103.8301512,200,199100225R,,,XE8664X,,Mon Aug 19 2024 11:03:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3144684,103.6562975,131,201942014W,,,XD9018K,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3032833,103.7487121,55,201942014W,,,XE3588R,,Mon Aug 19 2024 11:03:16 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.3039074,103.7490288,235,200301939M,,,XE6351L,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
AZONTRANS,1.3144684,103.6562975,131,201942014W,,,XD9018K,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
MASINDO,1.3039074,103.7490288,235,200301939M,,,XE6351L,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
POSANTPTN,1.2744495,103.7909351,302,200822834N-1,,,XE2796M,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
GKE EXP,1.2593263,103.8301266,207,199100225R,,,XE8664X,,Mon Aug 19 2024 11:03:17 GMT+0800 (Singapore Standard Time),Mon Aug 19 2024 11:04:00 GMT+0800 (Singapore Standard Time)
